"","names","infected","Population..millions.","Density..Km.","median.age","beds...1000","GPP...global.pandemic.preparedness","ds","FPY..flights.per.year","FPY..flights.per.year.ind","recovered","deaths"
"1","Australia",6801,25448054,3,37.9,3.8,75.5,"high",665384,1.8684,5814,94
"2","Austria",15597,89977564,109,43.5,7.6,58.5,"high",130260,0.3658,13180,596
"3","Bangladesh",9455,164403451,1265,27.6,0.8,35,"lower/middle",101383,0.2847,177,175
"4","Belarus",16705,9449847,47,40.3,11,35.3,"upper/middle",31676,0.0889,3117,97
"5","Belgium",49906,11580989,383,41.9,6.2,61,"high",140674,0.395,12211,7765
"6","Brazil",97100,212298492,25,33.5,2.2,59.7,"upper/middle",832683,2.3382,40937,6761
"7","Canada",56714,37684705,4,41.1,2.7,75.3,"high",1475063,4.1421,23814,3684
"8","Chile",18435,19087731,26,35.3,2.2,58.3,"high",134661,0.3781,9572,247
"9","China",82877,1438373881,153,38.4,4.2,48.2,"upper/middle",4692008,13.1754,78586,4637
"10","Colombia",7285,50788168,46,31.3,1.5,44.2,"upper/middle",358847,1.0077,1666,324
"11","Czechia",7755,10708981,139,43.2,6.5,52,"high",50694,0.1424,3461,245
"12","Denmark",9523,5788720,137,42.3,2.5,70.4,"high",955827,2.684,7084,475
"13","Dominican Republic",7578,10828949,225,28,1.6,38.3,"upper/middle",1421,0.004,1481,326
"14","Ecuador",27464,17595583,71,27.9,1.5,50.1,"upper/middle",53033,0.1489,2132,1371
"15","Egypt",6193,101988373,103,24.6,1.6,39.9,"lower/middle",105464,0.2961,1522,415
"16","France",168396,65248956,119,42.3,6.5,68.2,"high",597412,1.6776,50663,24763
"17","Germany",165086,83738254,240,45.7,8.3,66,"high",922649,2.5908,129000,6812
"18","India",40263,1377640966,464,28.4,0.7,46.5,"high",1200111,3.37,10819,1323
"19","Indonesia",11192,273018589,151,29.7,1.2,56.6,"lower/middle",959307,2.6938,1665,831
"20","Iran",97424,83803897,52,32,1.5,37.7,"upper/middle",225399,0.6329,77350,6156
"21","Ireland",21176,4928137,72,38.2,2.8,59,"high",935961,2.6282,13386,1286
"22","Israel",16193,8631516,400,30.5,3.1,47.3,"high",53901,0.1514,9593,229
"23","Italy",209328,60476763,206,47.3,3.4,56.2,"high",256596,0.7205,79914,28710
"24","Japan",14571,126541180,347,48.4,13.4,59.8,"high",999594,2.8069,3205,474
"25","Malaysia",6298,32293073,99,30.3,1.9,62.2,"upper/middle",476733,1.3387,4326,103
"26","Mexico",22088,128696276,66,29.2,1.5,57.6,"upper/middle",590727,1.6588,12377,2061
"27","Netherlands",40571,17128427,508,43.3,4.7,75.6,"high",325942,0.9153,138,5003
"28","Norway",7809,5413904,15,39.8,3.9,64.6,"high",342097,0.9606,32,211
"29","Pakistan",19103,220122022,287,22.8,0.6,35.5,"lower/middle",48542,0.1363,4817,440
"30","Panama",7090,4302710,58,29.7,2.3,43.7,"high",119148,0.3346,641,197
"31","Peru",42534,32890794,26,31,1.6,49.2,"upper/middle",141025,0.396,12434,1200
"32","Philippines",9223,109324182,368,25.7,1,47.6,"lower/middle",292450,0.8212,1124,603
"33","Poland",13693,37853584,124,41.7,6.5,55.4,"high",123903,0.3479,3762,664
"34","Portugal",25282,10201681,111,46.2,3.4,60.3,"high",182753,0.5132,1671,1023
"35","Qatar",15551,2872385,248,32.3,1.2,41.2,"high",197811,0.5555,1534,12
"36","Romania",13163,19258895,84,43.2,6.3,45.8,"upper/middle",55637,0.1562,4547,771
"37","Russia",134687,145923885,9,39.6,8.2,44.3,"upper/middle",885094,2.4854,15013,1222
"38","Saudi Arabia",27011,34717683,16,31.8,2.7,49.3,"high",254064,0.7134,3765,176
"39","Serbia",9464,8743236,100,41.6,5.7,52.3,"upper/middle",28160,0.0791,1426,189
"40","Singapore",18205,5842377,8358,42.2,2.4,58.7,"high",208787,0.5863,1347,17
"41","South Africa",6336,59177274,49,27.6,2.8,54.8,"upper/middle",180317,0.5063,2549,123
"42","Spain",247122,46751717,92,44.9,3,65.9,"high",641020,1.8,117248,25100
"43","Sweden",22317,10088421,25,41.1,2.6,72.1,"high",25478,0.0715,1005,2669
"44","Switzerland",29905,8643685,219,43.1,4.7,67,"high",219782,0.6172,24200,1762
"45","Turkey",124375,84180511,110,31.5,2.7,52.4,"upper/middle",772926,2.1704,58259,3336
"46","Ukraine",11913,43777267,75,41.2,8.8,38,"lower/middle",66712,0.1873,1498,279
"47","United Arab Emirates",14163,9869436,118,32.6,1.2,46.7,"high",455957,1.2804,2664,119
"48","United Kingdom",182260,67824794,281,40.5,2.8,77.9,"high",1242985,3.4904,896,28205
"49","US",1165868,330668797,33,38.3,2.9,83.5,"high",11354693,31.8846,175382,66369
